CÓDIGO;FREQ;SUST;Info de complementos;Funcionan sin?;SIGNIFICADO;info plus;ENUNCIADO;;;;;;;;;;;;;;;;;;;;
PHNI-0042;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM; y que de noche se hacen un ovillo para descansar cubriéndose el hocico con su esponjosa cola como de zorro.;;;;;;;;;;;;;;;;;;;;
PHNI-0043;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Cuando Su Señoría oyó el traqueteo, se arrojó al suelo haciéndose un ovillo, de tal manera que, cuando llegó Evaristo, que iba detrás de mí, al verlo tirado en el suelo, pensó que yo lo había matado, y él nada más se acercó a rematarlo;;;;;;;;;;;;;;;;;;;;
PHNI-0044;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;rodaron por las sábanas, como si armaran un rompecabezas de brazos, piernas, manos y labios, acoplándose, haciéndose un ovillo de jadeos y gemidos, de murmullos y gritos, de exigencias y súplicas.;;;;;;;;;;;;;;;;;;;;
PHNI-0045;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;y se retrepó luego en el banco, haciéndose un ovillo alrededor de la botella.;;;;;;;;;;;;;;;;;;;;
PHNI-0046;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Entonces cumplí ocho años y en las noches empecé a hacerme un ovillo sobre mí misma y de un día para otro mis manos pasaron a ser dos seres vivos independientes de mí ;;;;;;;;;;;;;;;;;;;;
PHNI-0047;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Intento no alterarme y guardar la calma haciéndome un ovillo.;;;;;;;;;;;;;;;;;;;;
PHNI-0048;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Me reburujé bajo el edredón haciéndome un ovillo con las rodillas hincadas en la frente, y lloré durante unos minutos;;;;;;;;;;;;;;;;;;;;
PHNI-0049;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Me hice un ovillo y continué durmiendo hasta que el ruido de la laboriosa ciudad vino a desvelarme sin remedio.;;;;;;;;;;;;;;;;;;;;
PHNI-0050;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Me hago un ovillo contra el rincón, no deben verla, me la quitarían,;;;;;;;;;;;;;;;;;;;;
PHNI-0051;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Me hice un ovillo y traté de olvidarme de todo, aunque había algo que me intranquilizaba y era eso de que iba a subir a verme un médico.;;;;;;;;;;;;;;;;;;;;
