CODIGO;token;;significado;enunciado
PHAD-861;1;longuis;despistado idiom;protestaban, callaban Sehacían los longuis Los
PHAD-1341;1;tonto;;pueden reconocerlosHagámonos los tontos
PHAD-1315;1;tonto;tonto;puedo seguirhaciéndome el tonto 
PHAD-1260;1;tonto;tonto;puedo yohacerme la tonta 
PHAD-531;1;imbécil;tonto, imbécil;puerta- ¡No tehagas el imbécil 
PHAD-540;1;importante;;puesto ohacerme el importante
PHAD-1073;1;remolón;;punto dehacerme el remolón 
PHAD-340;1;entretenido;;que decidióhacerse el entretenido
PHAD-539;1;importante;;qué decir Ellahaciéndose la importante Y
PHAD-1367;1;valiente;;qué disimular,hacerte el valiente
PHAD-937;1;muerto;muerto;que él sehizo el muerto metiéndose
PHAD-936;1;muerto;muerto;que estoyhaciéndome el muerto 
PHAD-885;1;menso;tonto EcEL Salv Hond Mex Nic;que luego sehagan las mensas de
PHAD-840;1;loco;;que mejor noshagamos los locos y
PHAD-506;1;huevón;tonto, imbécil, huevón-perezoso;Que nadie sehaga el huevón aquí
PHAD-451;1;gracioso;gracioso;que noHacerse los graciosos 
PHAD-361;1;estrecho;;que no tehagas el estrecho conmigo
PHAD-808;1;loco;;que no tehagas el loco y
PHAD-935;1;muerto;muerto;que no tehagas el muerto para
PHAD-759;1;loco;;que no tehagas la loca ahora,
PHAD-872;1;mandón;;que no tehagas la mandona Conmigo
PHAD-312;1;encontradizo;;que parecehacerse la encontradiza,
PHAD-878;1;mártir;;que porhacerme el mártir 
PHAD-492;1;guapo;;que porhacernos los guapos 
PHAD-807;1;loco;;que puedes! Tehaces el loco ¿me
PHAD-806;1;loco;;que puedohacerme el loco 
PHAD-1115;1;simbólico;;que quierahacerme el simbólico
PHAD-658;1;interesante;;que quierehacerse el interesante
PHAD-1123;1;simpático;;que quierehacerse la simpática,
PHAD-1345;1;torpe;;que quierenhacerse las torpes
PHAD-237;1;distraído;despistado;que Roberto sehizo el distraído cuando
PHAD-157;1;cojudo;tonto;qué seguíahaciéndose el cojudo 
PHAD-1259;1;tonto;tonto;que soy?Hacerse la tonta 
PHAD-805;1;loco;;que vengaHacete el loco 
PHAD-1314;1;tonto;tonto;queda bienhacerte el tonto 
PHAD-474;1;gracioso;;quedaba bienhacerse el gracioso
PHAD-32;1;bobo;tonto;quedaras, pero tehiciste la boba Te
PHAD-1277;1;tonto;tonto;quede claro, noshacemos las tontas no
PHAD-156;1;cojudo;tonto;Quelopana no tehagas el cojudo ¿no
PHAD-327;1;enfermo;;quiera Salíhaciéndome la enferma 
PHAD-804;1;loco;;quieren que tehagas el loco pero
PHAD-411;1;fuerte;;Quieres fumar,hacerte el fuerte
PHAD-170;1;culto;;quizá queríahacerse la culta 
PHAD-174;1;culto;;quizá queríahacerse la culta,
PHAD-934;1;muerto;muerto;Ramón que sehace el muerto 
PHAD-654;1;interesante;;Rebis dehacerse el interesante
PHAD-223;1;difícil ;;rechazándolo yhaciéndose la difícil,
PHAD-5;1;afectado;;reclaman y sehacen los afectados como
PHAD-981;1;ofendido;;reclamo El sehizo el ofendido y
PHAD-236;1;distraído;despistado;reojo y sehace el distraído mientras
PHAD-733;1;listo;;repongo, comentaba,haciéndose el listo
PHAD-126;1;chistoso;;resistencia ahacerme el chistoso 
PHAD-835;1;loco;;Resisto Todos seharán los locos pero
PHAD-709;1;leso;tonto Chile;Rigo quisohacerse el leso 
PHAD-197;1;desprotegido;;rogó, lloró, sehizo el desprotegido y,
PHAD-1105;1;santurrón;santo;sabían cómohacerse las santurronas 
PHAD-860;1;longuis;despistado idiom;sabías, no tehagas el longuis Nuestro
PHAD-530;1;imbécil;tonto, imbécil;sale bienhacerme el imbécil 
PHAD-956;1;muerto;;salvó alhacerse la muerta,
PHAD-1142;1;simpático;;Se acabóhacerse el simpático
PHAD-933;1;muerto;muerto;se aplacaba Sehizo el muerto para
PHAD-932;1;muerto;muerto;se zambulle, sehace el muerto se
PHAD-900;1;misterioso;;señor Hinojosahaciéndose el misterioso
PHAD-873;1;maricón;;señoras que sehacía el maricón aprovechando
PHAD-493;1;guay;;setecientas pelashaciéndote el guay
PHAD-165;1;cool ;;shop llegashaciéndote la cool,
PHAD-329;1;enfermo;;si Harrison sehará el enfermo para
PHAD-659;1;interesante;;si quisierahacerse el interesante
PHAD-1092;1;sabueso;;si seguíahaciéndose el sabueso 
PHAD-783;1;loco;;Si uno sehace el loco el
PHAD-899;1;misterioso;;sí, siguehaciéndose el misterioso
PHAD-803;1;loco;;sida todos noshacemos el loco y
PHAD-76;1;boludo;tonto Arg RepDom;siempre convienehacerse los boludos 
PHAD-235;1;distraído;despistado;silenciarlo, nihacerse el distraído 
PHAD-1188;1;sordo;tonto ;silencio- Aunque tehagas la sorda esta
PHAD-535;1;impasible ;;silencioso yhacerse el impasible,
PHAD-66;1;boludo;tonto Arg RepDom;sin fueros Tehacés el boludo pero
PHAD-758;1;loco;;sino excusas sehace la loca y
PHAD-802;1;loco;;sinvergüenza ¡No tehagas el loco y
PHAD-931;1;muerto;muerto;sobrevivir porque sehizo el muerto 
PHAD-145;1;ciego;;solamente porhacerse el ciego
PHAD-155;1;cojudo;tonto;soles, no sehaga el cojudo 
PHAD-1258;1;tonto;tonto;sólo estuviesehaciéndose la tonta 
PHAD-661;1;interesante;;sólo parahacerse el interesante
PHAD-116;1;chévere;;sólo porhacerte el chévere
PHAD-278;1;duro;;sólo queríashacerte la dura
PHAD-1124;1;simpático;;soltera debahacerse la simpática,
PHAD-450;1;gracioso;gracioso;somos, no noshacemos los graciosos no
PHAD-894;1;misterioso;;sonreír, comohaciéndose la misteriosa
PHAD-164;1;contento;;sonriendo yhaciéndome la contenta
PHAD-1112;1;serio;;"sorna; parecíahacerse el serio"
PHAD-757;1;loco;;su Bob, sehacía la loca y
PHAD-1187;1;sordo;tonto ;su madre sehacía la sorda ante
PHAD-1365;1;valiente;;su padre,haciéndose el valiente
PHAD-266;1;duro;;sucio …l sehacía el duro pero
PHAD-918;1;muertito;muerto;suelo y sehace el muertito 
PHAD-948;1;muerto;muerto;suelo y sehacían los muertos sin
PHAD-730;1;listo;;sueño, perohaciéndote el listo
PHAD-930;1;muerto;muerto;sueño: déjenmehacerme el muerto 
PHAD-1257;1;tonto;tonto;suicida dehacerme la tonta 
PHAD-712;1;leso;tonto Chile;Suprema que sehicieron los lesos con
PHAD-51;1;boludo;tonto Arg RepDom;sus ojos-Hacete la boluda 
PHAD-1371;1;valiente ;;tal vezHaciéndose el valiente,
PHAD-122;1;chistoso;;tanto Quisohacerse el chistosito 
PHAD-482;1;gracioso;;tarde? -respondí,haciéndome el gracioso
PHAD-125;1;chistoso;;te convienehacerte el chistoso 
PHAD-1072;1;recio;;te encajahacerte la recia 
PHAD-1256;1;tonto;tonto;tendré quehacerme la tonta 
PHAD-75;1;boludo;tonto Arg RepDom;tenemos quehacernos los boludos 
PHAD-839;1;loco;;tenemos quehacernos los locos 
PHAD-1255;1;tonto;tonto;tenés aliento, tehacés la tonta eludís
PHAD-520;1;idiota;tonto, imbécil;tenga quehacerme la idiota 
PHAD-801;1;loco;;tenía quehacerme el loco 
PHAD-756;1;loco;;tenía quehacerme la loca 
PHAD-378;1;experto;;tenis quehacerte la experta 
PHAD-584;1;ingenuo;;tentaciones dehacerme la ingenua
PHAD-517;1;idiota;tonto, imbécil;Termina dehacerte el idiota 
PHAD-180;1;deprimido;;ti, respondí, haciéndome el deprimido
PHAD-755;1;loco;;tiempo dehacerme la loca 
PHAD-800;1;loco;;tiempo y sehizo el loco me
PHAD-903;1;misterioso ;;tiene casohacerse el misterioso,
PHAD-519;1;idiota;tonto, imbécil;tienes quehacerte el idiota 
PHAD-161;1;compungido;;tienes quehacerte la compungida
PHAD-277;1;duro;;tienes quehacerte la dura
PHAD-911;1;modesto;;tienes quehacerte la modesta,
PHAD-388;1;fanfarrón;;tienes yhacerte el fanfarrón
PHAD-387;1;fanfarrón;;tienes yhacerte el fanfarrón 
PHAD-1138;1;simpático;;Tierra yhacerse el simpático:
PHAD-711;1;leso;tonto Chile;tipos que sehicieron los lesos y
PHAD-318;1;encontradizo;;todas parteshaciéndose el encontradizo
PHAD-1088;1;romántico;;todo no sehaga el romántico 
PHAD-1085;1;rico;;tombos llegaronhaciéndose los ricos
PHAD-731;1;listo;;tonto creíahacerse el listo,
PHAD-863;1;loquito;;transmitir-, si tehacés la loquita reventamos
PHAD-65;1;boludo;tonto Arg RepDom;transo Puedohacerme el boludo 
PHAD-857;1;loco;;"transportes ""que sehacían los locos"" y"
PHAD-652;1;interesante;;trata dehacerme la interesante,
PHAD-201;1;diferente ;;trataba dehacerme el diferente,
PHAD-415;1;fuerte ;;trataba dehacerme el fuerte,
PHAD-216;1;difícil;;trataba dehacerse la difícil
PHAD-1149;1;simpático;;tratan dehacerse los simpáticos
PHAD-419;1;fuerte ;;tratando dehacernos los fuertes
PHAD-675;1;interesante ;;tratando dehacerse el interesante,
PHAD-1130;1;simpático;;tratando dehacerse el simpático
PHAD-471;1;gracioso;;tratando dehacerte el gracioso?
PHAD-265;1;duro;;traté dehacerme el duro 
PHAD-503;1;honorable ;;traté dehacerme la honorable,
PHAD-566;1;indiferente ;;traté dehacerme la indiferente,
PHAD-479;1;gracioso;;trates dehacerte el gracioso
PHAD-1006;1;payaso;gracioso;triste Prefierohacerme la payasa 
PHAD-980;1;ofendido;;tu parejaHacerte el ofendido 
PHAD-1186;1;sordo;tonto ;"tumba"" Chiquita sehacía la sorda y"
PHAD-640;1;interesante;;Tupra quisohacerse el interesante
PHAD-1196;1;sordo;tonto ;tus hijos sehacen los sordos a
PHAD-604;1;inocente;;Tuve quehacerme la inocente
PHAD-1254;1;tonto;tonto;tuve quehacerme la tonta 
PHAD-324;1;encontradizo ;;un día,haciéndome el encontradizo,
PHAD-467;1;gracioso;;un precioHaciéndose el gracioso,
PHAD-689;1;interesante ;;una dehacerse la interesante?
PHAD-929;1;muerto;muerto;una pierna Sehizo el muerto durante
PHAD-754;1;loco;;una porquería Sehacía la loca y
PHAD-582;1;ingenuo;;una toalla,haciéndose la ingenua-
PHAD-228;1;discreto;;único intentanhacerse los discretos
PHAD-583;1;ingenuo;;valía dehacerme la ingenua,
PHAD-912;1;modesto;;vanidad aunquehaciéndose el modesto
PHAD-461;1;gracioso;;vaso -quisehacerme el gracioso-
PHAD-512;1;huevón;tonto, imbécil, huevón-perezoso;ve por ahí,hecho el huevón 
PHAD-1313;1;tonto;tonto;velo yhaciéndome el tonto 
PHAD-1133;1;simpático;;venía ahacerse el simpático
PHAD-958;1;natural;;venir? -preguntéhaciéndome la natural
PHAD-399;1;flojo;;"ventosas ""No tehagas la floja"" Elegí"
PHAD-641;1;interesante;;Venturelli parahacerse el interesante
PHAD-1312;1;tonto;tonto;ver que sehacía el tonto creía
PHAD-838;1;loco;;verás cómo sehacen los locos 
PHAD-858;1;longui;despistado idiom;vez, no tehagas el longui
PHAD-992;1;opa;tonto Arg Bol Ur;viaje? -pregunté,haciéndome el opa 
PHAD-264;1;duro;;viejos Anselmo sehace el duro pero
PHAD-166;1;cosmopolita;;vienen dehacerse los cosmopolitas 
PHAD-1034;1;pendejo;tonto ;vienes ahacerte el pendejo 
PHAD-454;1;gracioso;;"vino ahacerse la graciosa!"""
PHAD-799;1;loco;;violencia nihaciéndome el loco 
PHAD-1091;1;sabroso;;visto, pero sehacía el sabroso fumando
PHAD-1185;1;sordo;tonto ;visto? -ella sehizo la sorda con
PHAD-306;1;encontradizo;;volver ahacerme la encontradiza
PHAD-313;1;encontradizo;;volví ahacerme el encontradizo
PHAD-1058;1;piola;idiom: el listo Arg;vos no tehacés el piola ¿Entendiste?
PHAD-375;1;eterno;;Vuelvo ahacerme la eterna
PHAD-798;1;loco;;vuestra solidaridad tehaces el loco mamagüevo,
PHAD-691;1;inválido;;y además tehaces la inválida Yo
PHAD-1106;1;santurrón;santo;y ahora sehacen los santurrones 
PHAD-1081;1;remolón;;y Alice sehicieran los remolones con
PHAD-263;1;duro;;y él sehacía el duro mientras
PHAD-797;1;loco;;y el sehacía el loco Los
PHAD-234;1;distraído;despistado;y él seharía el distraído 
PHAD-707;1;leso;tonto Chile;y él sehizo el leso en
PHAD-1342;1;tonto;;y enhacerse los tontos,
PHAD-673;1;interesante;;y luegohacerse las interesantes
PHAD-973;1;ofendido;;y Marcelina sehizo la ofendida y
PHAD-834;1;loco;;"y nadie sehace el loco"" "
PHAD-124;1;chistoso;;y no tehagas el chistoso 
PHAD-28;1;bobo;tonto;Y no tehagas la boba que
PHAD-317;1;encontradizo;;y pretendíahacerme el encontradizo
PHAD-473;1;gracioso;;y pretendíahacerse el gracioso
PHAD-928;1;muerto;muerto;y que sehiciese el muerto Nahum
PHAD-753;1;loco;;y que tehaces la loca dime
PHAD-475;1;gracioso;;y queríahacerse el gracioso
PHAD-1131;1;simpático;;y queríahacerse el simpático
PHAD-901;1;misterioso;;y reaparecehaciéndose el misterioso
PHAD-1090;1;sabio;;y sinhacerse la sabia
PHAD-1089;1;sabihonda;;y sinhacerte la sabihonda 
PHAD-115;1;chévere;;y ustedhaciéndose el chévere
PHAD-64;1;boludo;tonto Arg RepDom;y vos tehacés el boludo 
PHAD-886;1;menso;tonto EcEL Salv Hond Mex Nic;y yohaciéndome el menso 
PHAD-796;1;loco;;y yo mehago el loco a
PHAD-50;1;boludo;tonto Arg RepDom;y yo mehago la boluda Si
PHAD-979;1;ofendido;;y, además, sehace el ofendido ante
PHAD-916;1;mudo;;ya dehacerme la muda!
PHAD-41;1;bobo;tonto;ya dehacerte el bobo 
PHAD-1311;1;tonto;tonto;Yeats No sehaga el tonto 
PHAD-1063;1;pródigo;;yo acáhaciéndome la pródiga!
PHAD-877;1;mártir;;yo aquíhaciéndome el mártir 
PHAD-31;1;bobo;tonto;yo estabahaciéndome la boba 
PHAD-80;1;borde;;yo intentandohacerme la borde 
PHAD-1129;1;simpático;;yo quehacerme el simpático
PHAD-1144;1;simpático;;"yo quería "" hacerme el simpático"""
PHAD-1287;1;tonto;tonto;Yo solíahacerme el tonto 
PHAD-904;1;moderno;;Zamacona (parahacerse la moderna
PHAD-486;1;gracioso;;" - dije, parahacerme el gracioso"""
PHAD-1239;1;tonto;tonto; - Encamarte, no tehagas la tonta 
PHAD-150;1;cojo;; - La perdiz sehace la coja 
PHAD-85;1;bravucón;; - No sehaga el bravucón teniente
PHAD-120;1;chistoso;; - SeÑora, ¡no sehaga la chistosa la
PHAD-740;1;loco;; - Sigue, no tehagas la loca 
PHAD-40;1;bobo;tonto; - Y no tehagas el bobo Que
PHAD-795;1;loco;;Entonces sehace el loco para
PHAD-612;1;inocente;;( Haciéndose la inocente)
PHAD-927;1;muerto;muerto; Fabián sehizo el muerto Los
PHAD-669;1;interesante;;Piloto- ( Haciéndose el interesante)
PHAD-752;1;loco;;Ahora sehace la loca 
PHAD-74;1;boludo;tonto Arg RepDom;PACO- Sehacen los boludos nada
PHAD-1082;1;resignado ;;-Marisa- ( Haciéndose la resignada)
PHAD-972;1;ofendido;; - No tehagás la ofendida Nadá
PHAD-511;1;huevón;tonto, imbécil, huevón-perezoso; - No tehagas el huevón sabes
PHAD-1310;1;tonto;tonto; - No tehagas el tonto ¿cuánto
PHAD-424;1;gil;tonto; - Dale,hacete el gil 
PHAD-1309;1;tonto;tonto; - No tehagas el tonto Hace
PHAD-751;1;loco;; - No tehagas la loca que
PHAD-459;1;gracioso;;MáscaraHacerte el gracioso
PHAD-750;1;loco;; Ella sehizo la loca Ya
PHAD-969;1;occiso;;Siemprehaciéndote el occiso
PHAD-867;1;maje;tonto HOND CRica; -¡No sehaga el maje! A
PHAD-708;1;leso;tonto Chile; -Cómo tehaces el leso Almonacid
PHAD-1308;1;tonto;tonto; - No sehaga el tonto sí,
PHAD-1339;1;tonto;tonto;¡No tehagas el tonto! 
PHAD-876;1;mártir;;No tehagas el mártir Jesús
PHAD-1033;1;pendejo;tonto ;No tehagas el pendejo ¡Le
PHAD-580;1;ingenuo;;No sehaga el ingenuo doctorcito
PHAD-1253;1;tonto;tonto;No tehagas la tonta Javiera
PHAD-1252;1;tonto;tonto;No tehagas la tonta Berta
PHAD-833;1;loco;;- ¡No tehagas el loco! 
PHAD-63;1;boludo;tonto Arg RepDom;No tehagas el boludo conmigo
PHAD-62;1;boludo;tonto Arg RepDom;No tehagas el boludo Juan
PHAD-1015;1;pelotudo;tonto Arg Bol Ur;No tehagas el pelotudo Gustavo
PHAD-61;1;boludo;tonto Arg RepDom;No tehagás el boludo Gustavo,
PHAD-262;1;duro;;No tehagas el duro conmigo
PHAD-60;1;boludo;tonto Arg RepDom;No tehagas el boludo que
PHAD-59;1;boludo;tonto Arg RepDom;No tehagas el boludo Franco
PHAD-1307;1;tonto;tonto;No tehagas el tonto Juan,
PHAD-1306;1;tonto;tonto;No tehagas el tonto que
PHAD-749;1;loco;;No tehagas la loca estás
PHAD-1305;1;tonto;tonto;no tehagas el tonto 
PHAD-866;1;maje;tonto HOND CRica;¡No tehagás el maje! 
PHAD-1014;1;pelotudo;tonto Arg Bol Ur;¡No tehagás el pelotudo porque
PHAD-1057;1;piola;idiom: el listo Arg; No tehagás el piola como
PHAD-529;1;imbécil;tonto, imbécil;No sehaga el imbécil Yo
PHAD-1031;1;pendejo;tonto ;ahacerte el pendejo 
PHAD-1032;1;pendejo;tonto ;ahacerte el pendejo 
PHAD-1304;1;tonto;tonto; -No tehagas el tonto Ya
PHAD-1303;1;tonto;tonto; No tehagas el tonto 
PHAD-510;1;huevón;tonto, imbécil, huevón-perezoso; No tehagas el huevón Por
PHAD-509;1;huevón;tonto, imbécil, huevón-perezoso; No tehagas el huevón Sabes
PHAD-1100;1;santo;santo; No noshagamos los santos ni
PHAD-1022;1;pendejo;tonto ; Veníahaciéndome la pendeja 
PHAD-508;1;huevón;tonto, imbécil, huevón-perezoso; -¡No tehagas el huevón Sabes
PHAD-394;1;fifí;Presumido Arg, Uru, El Salv Mex;" ""No tehagas el fifí pinche"
PHAD-1302;1;tonto;tonto; No sehaga el tonto Usté
PHAD-773;1;loco;; ¡No tehagás la loca! ¡Va
PHAD-423;1;gil;tonto; -No tehagas el gil bien
PHAD-668;1;interesante;;FIDEL- ( haciéndose el interesante)
PHAD-1013;1;pelotudo;tonto Arg Bol Ur; -No tehagas el pelotudo ¿Qué
PHAD-1274;1;tonto;tonto; -No tehagas la tonta-Insistió 
PHAD-1251;1;tonto;tonto;- No tehagas la tonta odio
PHAD-579;1;ingenuo;; Tehaces el ingenuo para
PHAD-1250;1;tonto;tonto;- mía:hacerme la tonta 
PHAD-1249;1;tonto;tonto;No tehagas la tonta ma
PHAD-1301;1;tonto;tonto;- No tehagas el tonto 
PHAD-220;1;difícil;;--Dale,hacete la difícil
PHAD-794;1;loco;;- 6, Sehizo el loco 
PHAD-1248;1;tonto;tonto;- No tehagas la tonta Sara,
PHAD-261;1;duro;; -Tehaces el duro pero
PHAD-832;1;loco;; -Sehizo el loco! Como
PHAD-260;1;duro;; Sehace el duro y
PHAD-385;1;extravagante;; b)Hacerte la extravagante 
PHAD-1109;1;serio;;-( Haciéndose la seria)
PHAD-698;1;jovencito;; Haciéndote el jovencito 
PHAD-392;1;fesa;tonto Mex;Haciéndome el fesa 
PHAD-49;1;boludo;tonto Arg RepDom; -A veces tehacés la boluda tan
PHAD-793;1;loco;; -años Quisehacerme el loco 
PHAD-57;1;boludo;tonto Arg RepDom; -Colo, no tehagas el boludo 
PHAD-56;1;boludo;tonto Arg RepDom; -Decime No tehagás el boludo 
PHAD-55;1;boludo;tonto Arg RepDom; -Gallego, no tehagas el boludo ¿O
PHAD-1029;1;pendejo;tonto ; -Jorge, no tehagas el pendejo Sabes
PHAD-119;1;chistoso;despistado; -Manuela, no tehagas la chistosa Tú
PHAD-778;1;loco;; -No tehagas el loco
PHAD-1285;1;tonto;tonto; -Pablo, no tehagas el tonto Son
PHAD-1026;1;pendejo;tonto ; -Tehaces el pendejo
PHAD-1279;1;tonto;tonto; -Va, no tehagas el tonto
PHAD-696;1;irónico;; , -le dijohaciéndose la irónica,
PHAD-792;1;loco;; , ¿me entiendes? Tehaces el loco 
PHAD-1030;1;pendejo;tonto ; , ¿para quéhacerse el pendejo 
PHAD-47;1;bohemio;; , a veces, sehace la bohemia con
PHAD-1247;1;tonto;tonto; , algo No tehagas la tonta A
PHAD-1078;1;remolón;; , ándale, no tehagas la remolona Charly
PHAD-748;1;loco;; , ardillita No tehagas la loca 
PHAD-1300;1;tonto;tonto; , Camus, no tehagas el tonto Soy
PHAD-39;1;bobo;tonto; , Carlos, no tehagas el bobo
PHAD-859;1;longui;despistado idiom; , coño, no tehagas el longui te
PHAD-1099;1;santo;santo; , cuando Bini sehizo el santo 
PHAD-543;1;importante;; , deja dehacerte el importante
PHAD-791;1;loco;; , deja dehacerte el loco 
PHAD-283;1;educado;; , deja dehacerte la educada,
PHAD-370;1;estúpido;; , dejá dehacerte la estúpida
PHAD-747;1;loco;; , deja dehacerte la loca 
PHAD-746;1;loco;; , dime si tehaces la loca ¿es
PHAD-1299;1;tonto;tonto; , doctor, no sehaga el tonto Usted
PHAD-1020;1;pendejo;tonto ; , doña Claudia sehace la pendeja que
PHAD-505;1;huevón;tonto, imbécil, huevón-perezoso; , Fernández, no sehaga el huevón
PHAD-745;1;loco;; , fingir, aparentar,hacerme la loca 
PHAD-1127;1;simpático;; , habituada ahacerse la simpática
PHAD-323;1;encontradizo ;; , incluso dehacerse el encontradizo,
PHAD-1128;1;simpático;; , ja! -reíhaciéndome la simpática
PHAD-610;1;inocente;; , joven? -preguntóhaciéndose la inocente
PHAD-221;1;difícil;;" , juega ahacerse la difícil"""
PHAD-219;1;difícil;; , jugó ahacerse la difícil
PHAD-480;1;gracioso;; , la dehacerte el gracioso
PHAD-1184;1;sordo;tonto ; , la policía sehizo la sorda y
PHAD-1369;1;valiente ;; , le dijehaciéndome el valiente,
PHAD-790;1;loco;; , le respondió,haciéndose el loco 
PHAD-1298;1;tonto;tonto; , Ledesma No sehaga el tonto 
PHAD-334;1;enfermo;; , lloraban o sehacían los enfermos Y
PHAD-1195;1;sordo;tonto ; , los demás sehicieron los sordos y
PHAD-73;1;boludo;tonto Arg RepDom; , los dos noshicimos los boludos y
PHAD-837;1;loco;; , los parroquianos sehacían los locos En
PHAD-1217;1;sumiso;; , mamá -preferíhacerme la sumisa
PHAD-645;1;interesante;; , más porhacerse la interesante
PHAD-1201;1;sordo;; , mas prefirióhacerse el sordo
PHAD-233;1;distraído;despistado; , mientras Ringo sehace el distraído mirando
PHAD-1297;1;tonto;tonto; , muchacho No tehagas el tonto y
PHAD-578;1;ingenuo;; , muy tranquilo,haciéndose el ingenuo 
PHAD-460;1;gracioso;; , nde putoHacete el gracioso
PHAD-1145;1;simpático;;" , ni porhacerse el simpático"""
PHAD-1276;1;tonto;tonto; , niñas: no sehagan las tontas 
PHAD-244;1;distraído;despistado; , no podemoshacernos los distraídos 
PHAD-917;1;muertito;muerto; , no respirar,hacerme el muertito 
PHAD-274;1;duro;; , nos gustabahacernos los duros 
PHAD-1077;1;remolón;; , nunca más sehizo la remolona para
PHAD-1246;1;tonto;tonto; , odio cuando tehaces la tonta 
PHAD-875;1;mártir;; , para quéhacerme el mártir 
PHAD-947;1;muerto;muerto; , para sobrevivir, sehacían los muertos La
PHAD-1296;1;tonto;tonto; , pero decidohacerme el tonto 
PHAD-232;1;distraído;despistado; , pero él sehizo el distraído como
PHAD-744;1;loco;; , pero ella sehacía la loca no
PHAD-490;1;gringo;; , pero ellas sehicieron las gringas y
PHAD-865;1;maje;tonto HOND CRica; , pero éste sehace el maje mira
PHAD-743;1;loco;; , pero no tehagas la loca y
PHAD-307;1;encontradizo;; , poner falta,hacernos las encontradiza
PHAD-359;1;estrecho;; , pues, no sehaga el estrecho 
PHAD-1104;1;santurrón;santo; , que ahora sehacen las santurronas son
PHAD-243;1;distraído;despistado; , que ahora sehacen los distraídos y
PHAD-477;1;gracioso;; , que intentahacerse el gracioso
PHAD-678;1;interesante ;; , que intentabahacerse el interesante,
PHAD-79;1;borde;; , que no sehiciera el borde ni
PHAD-154;1;cojudo;tonto; , que no sehiciera el cojudo Todavía
PHAD-1097;1;santo;santo; , que no sehiciera la santa Me
PHAD-1295;1;tonto;tonto; , que o sehacía el tonto o
PHAD-677;1;interesante ;; , que pretendíahacerse el interesante,
PHAD-398;1;finolis;Delicado; , que quiereshacerte el finolis 
PHAD-322;1;encontradizo ;; , que solíahacerse el encontradizo,
PHAD-1126;1;simpático;; , queriendo (también)hacerse la simpática
PHAD-162;1;compungido;; , quiso establecerhaciéndose el compungido
PHAD-609;1;inocente;; , respondió ella,haciéndose la inocente
PHAD-1245;1;tonto;tonto; , Sara, no tehagas la tonta Devuélveme
PHAD-1183;1;sordo;tonto ; , señora, no sehaga la sorda Y
PHAD-1294;1;tonto;tonto; , Silvio, no tehagas el tonto Mientras
PHAD-1005;1;payaso;gracioso; , Sofi, no tehagas la payasa Ya
PHAD-1004;1;payaso;gracioso; , Sofía, no tehagas la payasa Voy
PHAD-1141;1;simpático;; , sólo pretendíahacerse el simpático
PHAD-371;1;estúpido;; , te gustahacerte la estúpida
PHAD-218;1;difícil;; , tenía quehacerse la difícil
PHAD-1182;1;sordo;tonto ; , tenías quehacerte la sorda 
PHAD-1140;1;simpático;; , tratando dehacerme el simpático
PHAD-1125;1;simpático;; , tratando dehacerse la simpática,
PHAD-1083;1;resignado ;; , y ahacerse el resignado,
PHAD-326;1;enfermo;; , y decidíhacerme la enferma 
PHAD-789;1;loco;; , y Hallstrˆm sehizo el loco No 
PHAD-968;1;occiso;loco Mex; , y si tehaces el occiso te
PHAD-1293;1;tonto;tonto;" ; ¿Qué?sehizo el tonto "
PHAD-1292;1;tonto;tonto;" ; Deja dehacerte el tonto "
PHAD-229;1;distinto;;" ; no porhacerme el distinto"
PHAD-1244;1;tonto;tonto;" ; Pues no tehagas la tonta y"
PHAD-1243;1;tonto;tonto;" ; Venga, no sehaga la tonta sustancias,"
PHAD-883;1;menso;tonto EcEL Salv Hond Mex Nic;" ;Sí, no tehagas la mensa "
PHAD-259;1;duro;; : ¿Por qué tehaces el duro conmigo?
PHAD-925;1;muerto;muerto;" : ""Este hombre sehizo el muerto para"
PHAD-957;1;muerto;; : ´Juega ahacerse la muerta
PHAD-325;1;enfermo;; : ¡Dejá dehacerte la enferma 
PHAD-788;1;loco;; : Ndérana no tehagas el loco negocios
PHAD-742;1;loco;; : Ves, ahora tehaces la loca ¿No
PHAD-787;1;loco;; : vos seguíhaciéndote el loco 
PHAD-528;1;imbécil;tonto, imbécil; : Ya, no sehaga el imbécil 
PHAD-1242;1;tonto;tonto; ! ¡Deja dehacerte la tonta 
PHAD-1192;1;sordo;tonto ; ! ¡Estirada, no tehagas la sorda! ¡Pásame
PHAD-1291;1;tonto;tonto; ! ¡Reconocérnelo! ¡No tehagas el tonto conmigo,
PHAD-786;1;loco;; ! Creo que sehace el loco para
PHAD-1211;1;sordo ;; ! Tengo quehacerme el sordo
PHAD-978;1;ofendido;; ? - respondí intentandohacerme el ofendido 
PHAD-1207;1;sordo;; ? -le preguntéhaciéndome el sordo
PHAD-481;1;gracioso;; ? -le pregunté,haciéndome el gracioso
PHAD-345;1;espiritual;; ? -le preguntóhaciéndose la espiritual
PHAD-1290;1;tonto;tonto; ? -le pregunto,haciéndome el tonto 
PHAD-544;1;importante;; ? -me dijohaciéndose la importante
PHAD-577;1;ingenuo;; ? -preguntaba yohaciéndome el ingenuo 
PHAD-553;1;incrédulo;; ? -preguntó Marianahaciéndose la incrédula
PHAD-946;1;muerto;muerto; ? ¿Qué deseanhacernos los muertos 
PHAD-518;1;idiota;tonto, imbécil; ?dijehaciéndome el idiota 
