codigo;token;naturaleza;item;enunciado;significado;
PHND-201;1;SUST;víctima;"  que no se  haga la víctima"" -={Referencia";;FINGIDO
PHND-202;1;SUST;víctima; Los que se  hacen las víctimas no;;FINGIDO
PHND-203;1;SUST;víctima;  que todos se  hacen las víctimas inocentes;;FINGIDO
PHND-204;1;SUST;víctima;  historias, mintiendo,  haciéndose las víctimas ;;FINGIDO
PHND-205;1;SUST;víctima;  actores políticos se  hacen las víctimas claman;;FINGIDO
PHND-206;1;SUST;víctima;  personas que se  hacen las víctimas? -={Referencia;;FINGIDO
PHND-207;1;SUST;zorro;"Pues ni dudarlo, °la inyección letal, como a todas nosotras, o pudrirte aquí, en esta chirona! ¿Que no lo sabías? No te hagas la zorra...""";loco En recinto carcelario, autodefenderse con objetos punzantes // chile fingir;FINGIDO
PHND-208;1;SUST;zorro; Ella peleaba y él se hacía el zorrito como si no supiera nada.;loco;FINGIDO
PHND-006;1;SUST;amo;  partido, Marconato se  hizo el amo en;unívoco;UNÍVOCO
PHND-007;1;SUST;amo;  número dos, se  hace el amo de;unívoco;UNÍVOCO
PHND-008;1;SUST;amo;  muy difícil  hacerme el amo ;unívoco;UNÍVOCO
PHND-013;1;SUST;apologista;"que hoy se hizo el apologista de los atentados de las Cortes extraordinarias contra la soberanía de nuestros Reyes, decía, cuando no era ciudadano, ""que la grandeza de nuestros Príncipes Godos";unívoco;UNÍVOCO
PHND-014;1;SUST;artífice; . Mientras Eneas se  hace el artífice del;unívoco;UNÍVOCO
PHND-016;1;SUST;balón; .   Vean ustedes, se  hizo el balón Vitor;unívoco;UNÍVOCO
PHND-017;1;SUST;balón;  portugueses.   Olisadebe se  hace el balón rechazó;unívoco;UNÍVOCO
PHND-018;1;SUST;balón;  portero Dudek se  hace el balón A;unívoco;UNÍVOCO
PHND-019;1;SUST;balón;  delantero  y se  hace el balón el;unívoco;UNÍVOCO
PHND-020;1;SUST;balón;  de Polonia se  hace el balón Uno;unívoco;UNÍVOCO
PHND-021;1;SUST;balón;  cancha y se  hizo el balón ;unívoco;UNÍVOCO
PHND-022;1;SUST;banda;Titanic, un referente histórico, un hito musical que se hizo la banda sonora de la vida de muchas personas ;unívoco;UNÍVOCO
PHND-025;1;SUST;bocho;  mientras tanto  haciéndome el bocho ;Idiom: ilusionarse. Arg.;IDIOMÁTICO
PHND-026;1;SUST;bocho;  la idea,  haciéndome el bocho ;Idiom: ilusionarse. Arg.;IDIOMÁTICO
PHND-027;1;SUST;bocho;Tras un largo franeleo, tras hacernos el bocho durante meses nos fuimos en seco o se nos cayó el amigo cuando más lo necesitábamos;Idiom: ilusionarse. Arg.;IDIOMÁTICO
PHND-028;1;SUST;bocho;  capacidad de  hacerte el bocho ;Idiom: ilusionarse. Arg.;IDIOMÁTICO
PHND-033;1;SUST;centro;como si quisieran encerrarme en su círculo y hasta hacerme el centro de él.;unívoco;UNÍVOCO
PHND-034;1;SUST;César;  consistía en  hacerse el César Luis Menotti sin tener en su equipo Pasarellas, Kempes y Maradonas que dirigir.;Nombre propio;FINGIDO
PHND-040;1;SUST;coco;  prefiero no  hacerme el coco ;idiom: pensar demasiado;IDIOMÁTICO
PHND-050;1;SUST;dueño;  y allí se  hizo la dueÑa de;unívoco;UNÍVOCO
PHND-051;1;SUST;dueño;  Tiko que se  hizo el dueño de la medular;unívoco;UNÍVOCO
PHND-052;1;SUST;dueño;  ránking y se  hacían los dueÑos del;unívoco;UNÍVOCO
PHND-053;1;SUST;dueño;e esta forma quedó libre el camino para que pudieran evolucionar y hacerse los dueños de la tierra unos, entonces, pequeños animales, los mamíferos.;unívoco;UNÍVOCO
PHND-054;1;SUST;dueño;Basta Matías. Ya nos metiste en un buen lío con esto de hacerte el detective. Dejá. No ayudes más.;unívoco;UNÍVOCO
PHND-056;1;SUST;elemento;expande más bien su ascendiente haciéndonos los elementos activos para formar conciencia sobre lo que es, nuestra música y danza folklórica Boliviana,;no PROB ATRI: elemntos activos;UNÍVOCO
PHND-057;1;SUST;enemigo;  la corriente se  hiciera la enemiga contra;;UNÍVOCO
PHND-058;1;SUST;epicentro;  cuando éste se  hace el epicentro del;;UNÍVOCO
PHND-072;1;SUST;Gardel;"estoy seguro que Abraham Lincoln estaría

de acuerdo conmigo,

dijo el piojo haciéndose el Gardel,

es que

nuestra sociedad argentina

hoy tiene cierto tipo de violencia entre lo blanco y lo negro, ";nombre propio;FINGIDO
PHND-085;1;SUST;lonchas;con el consentimiento del árbitro, que se hizo el lonchas en un penalti clamoroso de Salgado a Villa.;loco;IDIOMÁTICO
PHND-100;1;SUST;Marx;"por ejemplo, aumentarles el salario a la clase trabajadora (ya se haci_a el Marx Twain); ";nombre propio;FINGIDO
PHND-121;1;SUST;osa;Su deseo era tan egoísta o prodigioso que, pese a nuestros gritos, ella se hacía la osa y persistía en mantenernos alejadas de todo mal. ;tonto Arg. Ur.;IDIOMÁTICO
PHND-122;1;SUST;otro;  ve, otro se  hace el otro SoÑad;unívoco;UNÍVOCO
PHND-146;1;SUST;reina;O lo mismo me monta en casa saraos para celebrar el día de Bolívar y se hace la reina de la barra americana. ;unívoco;UNÍVOCO
PHND-147;1;SUST;rey;" ""Se hizo el rey de Sudamérica el muy hijoputa"", ";unívoco;UNÍVOCO
PHND-164;1;SUST;vaca;"Como todo niño fue al colegio, y hasta se hizo la vaca para ""mataperrear"" en la laguna de Huacachina";Idiom: faltar a clase;IDIOMÁTICO
PHND-003;1;SUST;alba;  germinación, cómo se  haría el alba quién;;FINGIDO
PHND-126;1;SUST;pascua;  y ceja  hacerme la pascua ;idiom: fastidiar;FINGIDO
PHND-127;1;SUST;pascua;  Rosario a  hacernos la pascua ;idiom: fastidiar;FINGIDO
