código;freq;nombre;info de complementos;Funcionan sin?;INFO;METAFORICO;SIGNIFICA;DISTANCIA;fuente;meta;enunciado;;;;;;;;;;;;;;;;;;
PVNI-0037;1;artista;de éxito;sí;profesión u ocupación;no;;;;;Al final, sin embargo, el joven se vuelve un artista de éxito,;;;;;;;;;;;;;;;;;;
PVNI-0038;1;asceta;⍬;Sí;;sí;;;;;"Nos importa hablar de esta suerte de vaciamiento que le va sucediendo hasta volverse un asceta""";;;;;;;;;;;;;;;;;;
PVNI-0816;1;asco;de vieja;SUSTANTIVO COMPUESTO;de PVNIS;sí;asquerosa;mucha; mujer;asco de vieja;Luego te dio el ataque: arañaste las paredes, me pateaste el trasero, te vino la regla, se te enderezó el lomo, llenaste de moco las porcelanas, te volviste un asco de vieja ;;;;;;;;;;;;;;;;;;
PVNI-0039;1;asesino;⍬;Sí;profesión u ocupación;no;;;;;Porque el que mata se vuelve un asesino en el momento de matar, pero antes no lo era...;;;;;;;;;;;;;;;;;;
PVNI-0656;1;aspecto;clave;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; subsistencias;aspecto clave;así como una precaria movilidad y tecnología, en donde la subsistencia se volvía un aspecto clave- ;;;;;;;;;;;;;;;;;;
PVNI-0783;1;aspecto;reiterado;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; aspecto;aspecto reiterado;la polémica sobre la futura Confederación de Cine Clubes de América Latina, se volvió un aspecto reiterado en la agenda de las reuniones;;;;;;;;;;;;;;;;;;
PVNI-0040;1;astro;de los campos;sí;;sí;;;;;de manera repentina se volvió un astro de los campos.;;;;;;;;;;;;;;;;;;
PVNI-0730;1;asunto;inelidible;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;un asunto ineludible;;;;;;;;;;;;;;;;;;
PVNI-0737;1;asunto;insoportable;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;un asunto insoportable;;;;;;;;;;;;;;;;;;
PVNI-0759;1;asunto;nacional;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;un asunto nacional;;;;;;;;;;;;;;;;;;
PVNI-0766;1;asunto;personal;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;un asunto personal;;;;;;;;;;;;;;;;;;
PVNI-0767;1;asunto;personal;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;un asunto perosnal;;;;;;;;;;;;;;;;;;
PVNI-0769;1;asunto;político;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;un asunto político;;;;;;;;;;;;;;;;;;
PVNI-0817;1;asunto;de política;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;un asunto de politica;;;;;;;;;;;;;;;;;;
PVNI-0818;1;asunto;de tres;SUSTANTIVO COMPUESTO;de PVNIS;sí, por adj;compartido;poca; asunto;asunto algo;un asunto de tres;;;;;;;;;;;;;;;;;;
PVNI-0819;1;asunto;de vida o muerte;SUSTANTIVO COMPUESTO;de PVNIS;sí, por adj;vital, trascendental;poca; asunto;asunto algo;un asunto de vida;;;;;;;;;;;;;;;;;;
PVNI-0820;1;asunto;de vida o muerte;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;un asunto de vida o muerte;;;;;;;;;;;;;;;;;;
PVNI-0821;1;asunto;que…;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; asunto;asunto algo;Y por qué se volvió un asunto que se resuelve a puerta cerrada en Bogotá;;;;;;;;;;;;;;;;;;
PVNI-0692;1;atributo;esencial;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;cautela;atributo esencial;El desconocimiento del ser amado hace que la cautela se vuelva un atributo esencial en las relaciones de los que recién comienzan.;;;;;;;;;;;;;;;;;;
PVNI-0041;1;avispero;de drogas;sí;cuantificador;sí;;;;;Para entonces la Lindavista se volvía un avispero de drogas, atracos y bandas, minicárteles. ;;;;;;;;;;;;;;;;;;
PVNI-0042;1;bailarín;de chachá;sí;;no;;;;;integrarse a las guerrillas castristas, volverse un bailarín de cha cha chá, moviéndose de un cabaret a otro de la ciudad noctámbula en una Vespa con la amada atrás.;;;;;;;;;;;;;;;;;;
PVNI-0624;1;baile;de cerdos;SUSTANTIVO COMPUESTO;;sí;ridículo;mucha;actuación;baile de cerdos;Pero ellos, eso sí, abriéndose cancha con fintas y mariconadas que se volvían un baile de cerdos.;;;;;;;;;;;;;;;;;;
PVNI-0043;1;baldosa;⍬;Sí;;sí;;;;;Quería sacarla del cajero en ruinas, pero cada que la estiraba ella se volvía una baldosa.;;;;;;;;;;;;;;;;;;
PVNI-0822;1;banda;de estadios;SUSTANTIVO COMPUESTO;de PVNIS;sí, por adj;exitosa, triunfal;poca;banda;banda de estadios; Siempre se decía que donde tocaran iban a llenar. Se volvieron una banda de estadios y casi al mismo tiempo se produjo una de las más emblemáticas muertes del rock,;;;;;;;;;;;;;;;;;;
PVNI-0044;1;barbie;común;sí;;sí;;;;;Le midieron los trajes, le cuidaron la dieta, le cortaron el pelo y lo tiñeron de rubio. Se volvió una barbie común. ;;;;;;;;;;;;;;;;;;
PVNI-0045;1;barbita;rubia;Sí;;sí;;;;; en el rostro luciría un vello rubio muy menudito, que en el mentón se volvería una barbita rubia encrespada.;;;;;;;;;;;;;;;;;;
PVNI-0685;1;barrio;elegante;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; barrio;barrio de servicios;Y Barrio Jara, en poco tiempo, cambió como pocos otros: se volvió un barrio elegante, ;;;;;;;;;;;;;;;;;;
PVNI-0823;1;barrio;de servicios;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; barrio;barrio elegante;Además, como la Condesa se volvió un barrio de servicios, durante las mañanas hay un tráfico constante de camiones de repartidores que surten a los restaurantes;;;;;;;;;;;;;;;;;;
PVNI-0046;1;barrizal;⍬;Sí;;sí;;;;;La de la carretera, en cambio, en seguida se volvía un barrizal a causa de los turistas que venían con sus hijos a deslizarse por ella con sus trineos, cosa que hacían continuamente y por todas partes.;;;;;;;;;;;;;;;;;;
PVNI-0047;1;basilisco;⍬;Sí;IDIOM;sí;;;;;Cuando alguien le llevaba la contraria, se volvía un basilisco.;;;;;;;;;;;;;;;;;;
PVNI-0048;1;bastón;inútil;Sí;;sí;;;;; se vuelve un bastón inútil que genera gobernantes paralizados, mientras que la parálisis imaginativa y la corrupción favoritista de los gobernantes genera burócratas ineficientes e ineficaces.;;;;;;;;;;;;;;;;;;
PVNI-0050;1;beso;negro;SUSTANTIVO COMPUESTO;;sí;terso, dulce, plácido;mucha; café;beso negro;? El torbellino con que me amenaza. El café que se vuelve un beso negro.;;;;;;;;;;;;;;;;;;
PVNI-0052;1;bestia;humana;Sí;;sí;;;;; ¿Puede uno torturar con la misma crueldad con que ha sido torturado sin volverse una bestia humana? ;;;;;;;;;;;;;;;;;;
PVNI-0053;1;bien;público;SUSTANTIVO COMPUESTO;;NO;;poca;descubrimientos;bien público;los descubrimientos que dieron lugar a la innovación se vuelven un bien público en la forma de medicamentos genéricos;;;;;;;;;;;;;;;;;;
PVNI-0054;1;bien;público;SUSTANTIVO COMPUESTO;;NO;;poca; invención;bien público;"Al expirar la patente, la invención se hace disponible para que otros la usen y se vuelve un bien público. Finalmente, el acuerdo incorpora varias ""flexibilidades"" que permiten a los gobiernos hacer excepciones a los derechos";;;;;;;;;;;;;;;;;;
PVNI-0055;1;bisbiseo;que la arrulla;SÍ;;sí;;;;;le gusta dormirse oyendo las voces que se van apagando hasta volverse un bisbiseo que la arrulla.;;;;;;;;;;;;;;;;;;
PVNI-0056;1;bisturí;⍬;Sí;;sí;;;;;Apenas un papel. Pero a casi 70 kilómetros por hora se vuelve un bisturí. Taja el brazo derecho de Hushovd.;;;;;;;;;;;;;;;;;;
PVNI-0057;1;blanco;importante;Sí;IDIOM;sí;;;;;El convento de Santo Domingo se volvió un blanco importante para estas dos necesidades, ;;;;;;;;;;;;;;;;;;
PVNI-0058;1;blanco;⍬;Sí;IDIOM;sí;;;;;" Entonces, el momento en que el jugador se expresa, se vuelve un blanco y eso es lo que hay que evitar""";;;;;;;;;;;;;;;;;;
PVNI-0059;1;bola;apestosa;sí;;sí;;;;;El incienso que se volvía una bola apestosa y nos ahogaba, el incienso cuando Franco no estaba de mal humor y nos dejaba tocando la puerta una hora o no abría nunca;;;;;;;;;;;;;;;;;;
PVNI-0060;1;bola;de ojos;SUSTANTIVO COMPUESTO;;SÍ;abominable;mucha; persona;bola de ojos;La Mandonísima se volvió una bola de ojos, un Argos con falda y tetas. ;;;;;;;;;;;;;;;;;;
PVNI-0061;1;bola;que será;Sí;;sí;;;;; se vuelve una bola de nieve que será cada vez más difícil de detener. ;;;;;;;;;;;;;;;;;;
